lp;data;city;shop;category;product;price;quantity
65;2016-08-11;London;Haddow Camping Supplies;furniture;desk;149.99;6
66;2015-08-25;Berlin;Pringle Cycles;school equipment;sponge;4.0;96
67;2015-01-23;Warszawa;Salisbury Promotions;school and office equipment;pen;0.99;134
68;2016-05-30;Paris;Summit Cash & Carry;school and office equipment;pen;0.99;68
69;2016-08-06;Berlin;Pringle Cycles;furniture;desk;149.99;6
70;2015-12-17;Berlin;On Top Workshops;furniture;desk;149.99;3
71;2016-12-19;Warszawa;Salisbury Promotions;furniture;desk;149.99;5
72;2016-09-24;Berlin;Billingham Workshops;school and office equipment;pen;0.99;74
73;2015-08-03;Cracow;Sterling Cameras;school equipment;blackboard;590.0;3
74;2016-06-09;Krakow;Jeffries Logistics;furniture;swivel chair;69.0;21
75;2015-02-22;London;Newbold Accountancy Services;furniture;swivel chair;69.0;6
76;2017-03-07;Barcelona;Super Memorabilia;school and office equipment;pen;0.99;259
77;2015-02-25;London;Newbold Accountancy Services;school and office equipment;pen;0.99;73
78;2015-02-18;Barcelona;Riverside Off Road Vehicles;furniture;desk;149.99;1
79;2015-10-08;Krakow;Grady Recycling;school equipment;sponge;4.0;59
80;2015-07-27;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;13
81;2016-12-15;Krakow;Jeffries Logistics;school equipment;sponge;4.0;301
82;2015-06-21;Berlin;Quality Boiler Repairs;furniture;swivel chair;69.0;10
83;2016-08-31;Cracow;Richards Textiles;school equipment;chalk;5.0;198
84;2015-10-03;Warszawa;Salisbury Promotions;school equipment;sponge;4.0;471
85;2016-01-19;Paris;Wright Sporting Goods;furniture;desk;149.99;18
86;2016-09-12;Cracow;Valley Coaches;school and office equipment;pen;1.49;26
87;2016-05-23;Krakow;Grady Recycling;school and office equipment;pen;1.49;192
88;2016-09-05;Berlin;Quality Boiler Repairs;school equipment;blackboard;590.0;1
89;2015-07-14;Cracow;Grange Locksmiths;school and office equipment;punch;7.5;65
90;2015-08-13;Warszawa;North Point Services;school equipment;blackboard;590.0;2
91;2017-01-12;Berlin;Billingham Workshops;school equipment;chalk;5.0;29
92;2016-09-07;Barcelona;Super Memorabilia;school equipment;blackboard;590.0;4
93;2015-11-22;Paris;Wright Sporting Goods;school and office equipment;plasticine;2.99;270
94;2015-09-12;Rome;Pearce Printing;school equipment;blackboard;590.0;1
95;2016-06-13;London;Ashton Electronics;school and office equipment;pen;0.99;131
96;2015-12-03;Cracow;Valley Coaches;school equipment;blackboard;590.0;2
97;2016-06-12;Rome;Pearce Printing;school and office equipment;punch;7.5;25
98;2016-03-13;Berlin;Pringle Cycles;furniture;desk;149.99;6
99;2015-02-18;Warszawa;North Point Services;school and office equipment;punch;7.5;154
100;2015-05-02;Krakow;Noakes Paper Products;school and office equipment;punch;7.5;182
101;2016-12-30;Barcelona;On Time Kitchens;school and office equipment;punch;7.5;167
102;2016-03-16;Paris;Holt Packaging;furniture;swivel chair;69.0;36
103;2016-07-05;Krakow;Jeffries Logistics;school equipment;sponge;4.0;332
104;2017-04-18;Berlin;Quality Boiler Repairs;school equipment;chalk;5.0;109
105;2015-08-03;Barcelona;Riverside Off Road Vehicles;school equipment;chalk;5.0;140
106;2016-04-10;Paris;Holt Packaging;school and office equipment;pen;1.49;292
107;2014-10-22;Warszawa;North Point Services;furniture;desk;149.99;13
108;2016-10-21;Paris;Holt Packaging;school equipment;chalk;5.0;406
109;2015-08-20;Warszawa;Salisbury Promotions;school equipment;sponge;4.0;435
110;2015-12-01;Rome;Pearce Printing;school and office equipment;pen;0.99;49
111;2015-09-21;London;Ashton Electronics;furniture;desk;149.99;1
112;2016-05-02;Barcelona;Rathbone Double Glazing;furniture;swivel chair;69.0;8
113;2016-03-31;Cracow;Sterling Cameras;school equipment;sponge;4.0;89
114;2014-12-03;Paris;Holt Packaging;furniture;swivel chair;69.0;15
115;2016-10-02;Paris;Wright Sporting Goods;school and office equipment;plasticine;2.99;460
116;2015-06-19;Krakow;Noakes Paper Products;school equipment;chalk;5.0;262
117;2016-08-10;Paris;Summit Cash & Carry;furniture;swivel chair;69.0;38
118;2016-11-15;Krakow;Grady Recycling;school and office equipment;pen;0.99;58
119;2015-06-29;Rome;Pearce Printing;furniture;swivel chair;69.0;7
120;2014-11-09;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;30
121;2015-11-14;Berlin;Quality Boiler Repairs;school equipment;blackboard;590.0;1
122;2016-06-24;Warszawa;Salisbury Promotions;school equipment;blackboard;590.0;2
123;2016-11-16;Barcelona;Riverside Off Road Vehicles;school and office equipment;punch;7.5;84
124;2017-03-22;Rome;Pearce Printing;school and office equipment;plasticine;2.99;47
125;2015-03-23;Krakow;Grady Recycling;school equipment;sponge;4.0;19
126;2016-09-21;Berlin;Pringle Cycles;school and office equipment;pen;1.49;54
127;2017-03-13;Berlin;On Top Workshops;school equipment;blackboard;590.0;1
128;2016-03-17;Rome;Pearce Printing;furniture;swivel chair;69.0;4
129;2016-08-03;Warszawa;North Point Services;furniture;desk;149.99;1
130;2016-10-19;Paris;Holt Packaging;school and office equipment;pen;1.49;301
131;2015-02-27;Barcelona;Rathbone Double Glazing;school and office equipment;pen;1.49;129
132;2015-05-22;Krakow;Grady Recycling;school equipment;chalk;5.0;327
133;2015-10-28;London;Ashton Electronics;school and office equipment;pen;0.99;218
134;2014-11-17;Paris;Wright Sporting Goods;school equipment;blackboard;590.0;2
135;2015-11-13;Krakow;Noakes Paper Products;school and office equipment;plasticine;2.99;90
136;2015-04-18;London;Newbold Accountancy Services;school and office equipment;plasticine;2.99;249
137;2015-01-10;Paris;Holt Packaging;school equipment;chalk;5.0;445
138;2015-10-02;Berlin;Pringle Cycles;school equipment;sponge;4.0;50
139;2014-10-25;Berlin;Billingham Workshops;furniture;desk;149.99;7
140;2016-04-17;Rome;Pearce Printing;school equipment;blackboard;590.0;1
141;2014-11-18;Rome;Khan Cabs;furniture;desk;149.99;2
142;2014-12-28;Barcelona;Riverside Off Road Vehicles;school equipment;blackboard;590.0;3
143;2015-07-03;Warszawa;Salisbury Promotions;furniture;desk;149.99;21
144;2015-04-09;Warszawa;North Point Services;furniture;desk;149.99;6
145;2015-09-20;Krakow;Grady Recycling;school equipment;sponge;4.0;89
146;2016-11-01;Cracow;Grange Locksmiths;furniture;desk;149.99;8
147;2017-04-21;Krakow;Jeffries Logistics;school and office equipment;punch;7.5;163
148;2015-01-03;Cracow;Valley Coaches;school and office equipment;pen;1.49;70
149;2016-10-05;Berlin;Billingham Workshops;school and office equipment;pen;1.49;38
150;2015-02-26;London;Newbold Accountancy Services;school equipment;sponge;4.0;248
151;2015-01-10;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;22
152;2016-12-17;Rome;Pearce Printing;school and office equipment;pen;1.49;9
153;2016-05-06;Barcelona;On Time Kitchens;furniture;desk;149.99;15
154;2016-05-07;Warszawa;Salisbury Promotions;furniture;desk;149.99;5
155;2016-10-07;London;Haddow Camping Supplies;furniture;desk;149.99;8
156;2015-12-06;Warszawa;North Point Services;furniture;swivel chair;69.0;5
157;2016-09-09;Cracow;Grange Locksmiths;school and office equipment;plasticine;2.99;207
158;2016-09-16;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;19
159;2016-01-27;Paris;Wright Sporting Goods;school and office equipment;pen;0.99;260
160;2016-07-07;Warszawa;North Point Services;school equipment;chalk;5.0;145
161;2016-11-03;Krakow;Jeffries Logistics;school and office equipment;pen;1.49;218
162;2016-10-20;Barcelona;Super Memorabilia;school equipment;sponge;4.0;369
163;2016-02-27;London;Haddow Camping Supplies;school and office equipment;plasticine;2.99;158
164;2017-01-05;Warszawa;North Point Services;school equipment;blackboard;590.0;4
165;2016-10-09;Krakow;Jeffries Logistics;school equipment;chalk;5.0;61
166;2015-08-10;Paris;Holt Packaging;furniture;swivel chair;69.0;23
167;2015-01-19;London;Newbold Accountancy Services;school equipment;chalk;5.0;192
168;2017-04-24;London;Ashton Electronics;school and office equipment;pen;1.49;134
169;2017-02-28;Paris;Holt Packaging;furniture;desk;149.99;14
170;2016-01-24;London;Ashton Electronics;furniture;desk;149.99;9
171;2015-05-19;Barcelona;Super Memorabilia;furniture;swivel chair;69.0;5
172;2015-12-19;Rome;Khan Cabs;furniture;swivel chair;69.0;2
173;2015-01-29;Krakow;Noakes Paper Products;school and office equipment;punch;7.5;190
174;2017-04-21;Berlin;Quality Boiler Repairs;school equipment;sponge;4.0;13
175;2014-10-10;Paris;Wright Sporting Goods;furniture;desk;149.99;10
176;2016-12-25;Warszawa;Salisbury Promotions;school equipment;chalk;5.0;11
177;2016-12-22;Barcelona;Super Memorabilia;furniture;desk;149.99;1
178;2014-11-30;Rome;Khan Cabs;furniture;desk;149.99;2
179;2016-04-09;Warszawa;Salisbury Promotions;furniture;desk;149.99;6
180;2015-09-03;Rome;Khan Cabs;school equipment;sponge;4.0;33
181;2017-04-10;Rome;Khan Cabs;furniture;swivel chair;69.0;5
182;2015-09-24;Cracow;Sterling Cameras;furniture;desk;149.99;1
183;2015-05-19;Warszawa;North Point Services;school equipment;sponge;4.0;362
184;2017-04-27;Paris;Summit Cash & Carry;school and office equipment;plasticine;2.99;290
185;2017-01-04;Krakow;Jeffries Logistics;school equipment;sponge;4.0;39
186;2014-11-06;London;Newbold Accountancy Services;school and office equipment;pen;0.99;138
187;2016-11-18;London;Ashton Electronics;school equipment;blackboard;590.0;2
188;2016-01-20;Krakow;Grady Recycling;school and office equipment;pen;1.49;8
189;2014-11-15;London;Newbold Accountancy Services;school and office equipment;punch;7.5;70
190;2017-02-06;Barcelona;On Time Kitchens;furniture;desk;149.99;4
191;2016-05-07;Krakow;Jeffries Logistics;furniture;desk;149.99;15
192;2015-12-12;Barcelona;Rathbone Double Glazing;school and office equipment;pen;1.49;157
193;2016-03-05;London;Ashton Electronics;school equipment;blackboard;590.0;2
194;2016-10-06;Berlin;Pringle Cycles;school equipment;blackboard;590.0;2
195;2014-10-21;London;Newbold Accountancy Services;school and office equipment;punch;7.5;88
196;2016-12-29;Warszawa;North Point Services;school equipment;chalk;5.0;75
197;2015-05-15;Paris;Wright Sporting Goods;furniture;swivel chair;69.0;5
198;2017-04-24;London;Newbold Accountancy Services;school equipment;blackboard;590.0;3
199;2016-07-02;Rome;Pearce Printing;school equipment;sponge;4.0;5
200;2016-02-21;London;Ashton Electronics;school and office equipment;pen;1.49;21
201;2015-11-17;Cracow;Richards Textiles;school equipment;sponge;4.0;205
202;2015-12-10;Barcelona;Rathbone Double Glazing;school equipment;chalk;5.0;41
203;2016-04-03;Berlin;Pringle Cycles;furniture;swivel chair;69.0;8
204;2016-08-30;Berlin;On Top Workshops;school equipment;chalk;5.0;95
205;2016-08-06;Warszawa;North Point Services;furniture;swivel chair;69.0;22
206;2016-05-16;Rome;Khan Cabs;furniture;swivel chair;69.0;4
207;2017-01-04;Barcelona;Super Memorabilia;school and office equipment;pen;0.99;9
208;2015-11-05;Krakow;Jeffries Logistics;school equipment;blackboard;590.0;1
209;2015-07-08;Krakow;Grady Recycling;furniture;desk;149.99;15
210;2016-07-24;London;Ashton Electronics;furniture;swivel chair;69.0;22
211;2017-04-28;Berlin;Quality Boiler Repairs;furniture;desk;149.99;5
212;2015-01-21;London;Newbold Accountancy Services;furniture;desk;149.99;6
213;2016-10-27;Rome;Pearce Printing;school and office equipment;plasticine;2.99;45
214;2016-06-09;Cracow;Richards Textiles;school and office equipment;pen;1.49;11
215;2017-04-12;Barcelona;On Time Kitchens;school equipment;blackboard;590.0;1
216;2014-11-30;Cracow;Richards Textiles;school equipment;blackboard;590.0;2
217;2015-06-01;London;Ashton Electronics;school and office equipment;punch;7.5;58
218;2015-12-24;London;Ashton Electronics;school and office equipment;pen;1.49;8
219;2014-12-13;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;4
220;2015-01-09;Berlin;Pringle Cycles;school equipment;blackboard;590.0;2
221;2016-03-07;Krakow;Noakes Paper Products;school equipment;sponge;4.0;197
222;2015-10-02;Cracow;Sterling Cameras;furniture;swivel chair;69.0;7
223;2016-03-26;Paris;Holt Packaging;furniture;desk;149.99;14
224;2015-05-21;Cracow;Sterling Cameras;school equipment;sponge;4.0;157
225;2015-01-21;Krakow;Noakes Paper Products;school and office equipment;pen;1.49;114
226;2016-03-11;Barcelona;Riverside Off Road Vehicles;school equipment;blackboard;590.0;2
227;2015-10-04;Cracow;Sterling Cameras;furniture;swivel chair;69.0;23
228;2014-12-15;Barcelona;Rathbone Double Glazing;school equipment;chalk;5.0;53
229;2017-05-02;Warszawa;North Point Services;school equipment;blackboard;590.0;1
230;2015-04-05;Warszawa;Salisbury Promotions;school and office equipment;pen;1.49;52
231;2014-10-30;Cracow;Grange Locksmiths;school and office equipment;punch;7.5;53
232;2015-03-12;Paris;Wright Sporting Goods;furniture;swivel chair;69.0;20
233;2017-04-16;Warszawa;Salisbury Promotions;school and office equipment;pen;1.49;76
234;2017-01-18;Barcelona;Riverside Off Road Vehicles;school equipment;sponge;4.0;148
235;2015-03-23;Berlin;On Top Workshops;school equipment;chalk;5.0;62
236;2016-10-27;Berlin;Billingham Workshops;school and office equipment;plasticine;2.99;71
237;2017-01-06;Paris;Wright Sporting Goods;school and office equipment;pen;0.99;261
238;2016-01-06;Paris;Summit Cash & Carry;furniture;desk;149.99;13
239;2015-11-24;London;Haddow Camping Supplies;school equipment;blackboard;590.0;1
240;2015-10-22;Barcelona;Riverside Off Road Vehicles;furniture;desk;149.99;7
241;2017-02-18;Krakow;Noakes Paper Products;furniture;swivel chair;69.0;16
242;2016-10-15;Rome;Khan Cabs;school and office equipment;punch;7.5;7
243;2015-03-31;Barcelona;Riverside Off Road Vehicles;furniture;swivel chair;69.0;1
244;2015-03-27;Cracow;Valley Coaches;furniture;swivel chair;69.0;5
245;2015-03-29;Krakow;Grady Recycling;school equipment;sponge;4.0;131
246;2015-10-05;Krakow;Grady Recycling;school equipment;chalk;5.0;341
247;2017-03-05;Cracow;Valley Coaches;school equipment;sponge;4.0;270
248;2015-07-11;Paris;Wright Sporting Goods;furniture;desk;149.99;20
249;2016-09-21;Barcelona;On Time Kitchens;school and office equipment;pen;1.49;46
250;2015-08-12;Paris;Holt Packaging;furniture;desk;149.99;14
251;2016-06-08;Krakow;Grady Recycling;school and office equipment;punch;7.5;198
252;2016-02-10;London;Haddow Camping Supplies;school equipment;sponge;4.0;218
253;2016-08-17;Rome;Khan Cabs;school and office equipment;plasticine;2.99;63
254;2016-07-03;Berlin;Quality Boiler Repairs;school equipment;chalk;5.0;26
255;2015-02-01;Krakow;Noakes Paper Products;school and office equipment;plasticine;2.99;57
256;2017-01-06;London;Haddow Camping Supplies;school and office equipment;punch;7.5;27
257;2016-08-08;Rome;Khan Cabs;furniture;desk;149.99;2
258;2015-10-18;Warszawa;Salisbury Promotions;school and office equipment;pen;0.99;224
259;2016-12-21;Berlin;Quality Boiler Repairs;furniture;swivel chair;69.0;9
260;2016-07-29;Paris;Wright Sporting Goods;furniture;swivel chair;69.0;23
261;2016-12-26;Berlin;On Top Workshops;school and office equipment;pen;1.49;49
262;2016-12-09;Paris;Summit Cash & Carry;school equipment;blackboard;590.0;5
263;2017-03-24;Krakow;Jeffries Logistics;furniture;swivel chair;69.0;31
264;2016-07-10;Paris;Wright Sporting Goods;school and office equipment;pen;1.49;70
265;2016-02-14;Berlin;Pringle Cycles;school equipment;blackboard;590.0;2
266;2016-07-13;Rome;Pearce Printing;school and office equipment;punch;7.5;15
267;2015-01-21;Krakow;Jeffries Logistics;school and office equipment;plasticine;2.99;316
268;2015-07-28;Rome;Pearce Printing;furniture;swivel chair;69.0;4
269;2015-06-08;London;Haddow Camping Supplies;furniture;swivel chair;69.0;4
270;2014-12-05;Paris;Summit Cash & Carry;furniture;swivel chair;69.0;40
271;2016-10-10;Cracow;Valley Coaches;furniture;desk;149.99;5
272;2015-07-06;Cracow;Grange Locksmiths;school equipment;sponge;4.0;126
273;2016-04-07;London;Ashton Electronics;school and office equipment;punch;7.5;56
274;2016-07-21;Warszawa;Salisbury Promotions;furniture;desk;149.99;2
275;2015-08-10;Krakow;Noakes Paper Products;school equipment;chalk;5.0;146
276;2016-02-07;Barcelona;Super Memorabilia;furniture;desk;149.99;8
277;2015-07-20;Krakow;Noakes Paper Products;school equipment;blackboard;590.0;3
278;2015-09-18;Barcelona;On Time Kitchens;school equipment;blackboard;590.0;2
279;2016-07-19;Berlin;Quality Boiler Repairs;school and office equipment;punch;7.5;54
280;2015-08-23;Cracow;Valley Coaches;school and office equipment;pen;1.49;179
281;2014-12-02;Rome;Pearce Printing;school equipment;chalk;5.0;62
282;2015-12-06;Barcelona;On Time Kitchens;furniture;swivel chair;69.0;21
283;2015-04-15;Paris;Wright Sporting Goods;school equipment;sponge;4.0;200
284;2015-05-18;Paris;Summit Cash & Carry;school and office equipment;pen;0.99;348
285;2016-12-08;Cracow;Richards Textiles;furniture;desk;149.99;10
286;2016-11-17;Warszawa;North Point Services;school equipment;sponge;4.0;339
287;2015-08-18;Rome;Pearce Printing;furniture;desk;149.99;4
288;2017-02-17;Krakow;Grady Recycling;school equipment;blackboard;590.0;1
289;2015-02-20;Cracow;Richards Textiles;furniture;desk;149.99;2
290;2016-04-23;London;Haddow Camping Supplies;school and office equipment;plasticine;2.99;74
291;2017-02-05;Barcelona;On Time Kitchens;school and office equipment;pen;0.99;67
292;2017-02-13;Berlin;On Top Workshops;furniture;swivel chair;69.0;6
293;2016-04-09;Paris;Summit Cash & Carry;furniture;desk;149.99;12
294;2016-07-03;Barcelona;Rathbone Double Glazing;school and office equipment;punch;7.5;95
295;2017-03-11;Krakow;Jeffries Logistics;furniture;swivel chair;69.0;31
296;2014-11-04;Berlin;Pringle Cycles;furniture;desk;149.99;2
297;2014-12-30;Rome;Khan Cabs;school equipment;sponge;4.0;14
298;2015-05-22;Berlin;Billingham Workshops;school and office equipment;pen;1.49;96
299;2014-10-19;Rome;Pearce Printing;school equipment;sponge;4.0;42
300;2015-01-07;London;Haddow Camping Supplies;school equipment;blackboard;590.0;3
301;2016-07-01;Krakow;Jeffries Logistics;school and office equipment;plasticine;2.99;332
302;2014-12-10;Cracow;Sterling Cameras;furniture;desk;149.99;12
303;2015-05-01;Paris;Summit Cash & Carry;school and office equipment;punch;7.5;41
304;2016-08-06;Cracow;Richards Textiles;furniture;swivel chair;69.0;4
305;2016-12-13;Warszawa;North Point Services;school equipment;blackboard;590.0;1
306;2015-09-06;Krakow;Noakes Paper Products;school and office equipment;pen;1.49;81
307;2015-05-13;Warszawa;North Point Services;school and office equipment;punch;7.5;213
308;2015-04-27;Barcelona;Riverside Off Road Vehicles;furniture;desk;149.99;16
309;2015-03-12;Cracow;Grange Locksmiths;furniture;swivel chair;69.0;7
310;2015-11-02;Berlin;Quality Boiler Repairs;school equipment;chalk;5.0;135
311;2014-12-17;Berlin;Billingham Workshops;school equipment;sponge;4.0;19
312;2016-05-25;Krakow;Jeffries Logistics;school and office equipment;punch;7.5;94
313;2016-04-11;Cracow;Grange Locksmiths;furniture;desk;149.99;3
314;2016-12-03;Barcelona;Riverside Off Road Vehicles;school and office equipment;pen;1.49;101
315;2015-06-17;London;Ashton Electronics;school and office equipment;pen;0.99;49
316;2016-01-11;Paris;Summit Cash & Carry;school equipment;chalk;5.0;158
317;2016-11-01;Berlin;Pringle Cycles;school equipment;blackboard;590.0;1
318;2017-02-23;Paris;Wright Sporting Goods;school equipment;sponge;4.0;175
319;2015-09-06;Krakow;Noakes Paper Products;school equipment;chalk;5.0;44
320;2016-05-23;Barcelona;Riverside Off Road Vehicles;school and office equipment;pen;1.49;222
321;2016-11-02;Cracow;Valley Coaches;school equipment;chalk;5.0;132
322;2016-03-28;Rome;Khan Cabs;school equipment;sponge;4.0;29
323;2015-12-07;Barcelona;On Time Kitchens;school equipment;blackboard;590.0;4
324;2017-04-01;Barcelona;On Time Kitchens;furniture;desk;149.99;3
325;2016-04-06;Krakow;Grady Recycling;school and office equipment;pen;0.99;123
326;2016-02-22;Cracow;Sterling Cameras;school and office equipment;punch;7.5;118
327;2015-12-08;Cracow;Valley Coaches;school and office equipment;punch;7.5;68
328;2016-03-07;Rome;Pearce Printing;school equipment;blackboard;590.0;1
329;2016-09-30;Barcelona;Super Memorabilia;furniture;desk;149.99;2
330;2016-02-20;Paris;Summit Cash & Carry;school equipment;blackboard;590.0;2
331;2015-12-19;Barcelona;On Time Kitchens;furniture;swivel chair;69.0;5
332;2015-05-10;London;Haddow Camping Supplies;school equipment;blackboard;590.0;3
333;2016-02-23;Paris;Wright Sporting Goods;school and office equipment;pen;1.49;195
334;2016-06-01;Barcelona;Riverside Off Road Vehicles;furniture;desk;149.99;5
335;2016-04-08;Warszawa;North Point Services;school equipment;sponge;4.0;251
336;2015-09-16;Rome;Pearce Printing;school equipment;blackboard;590.0;1
337;2014-11-20;Krakow;Grady Recycling;furniture;swivel chair;69.0;9
338;2015-01-14;Cracow;Valley Coaches;school equipment;blackboard;590.0;3
339;2015-01-13;Rome;Pearce Printing;school and office equipment;punch;7.5;21
340;2015-08-16;Barcelona;On Time Kitchens;furniture;desk;149.99;1
341;2016-07-07;London;Haddow Camping Supplies;furniture;swivel chair;69.0;12
342;2015-09-01;Paris;Wright Sporting Goods;furniture;swivel chair;69.0;23
343;2014-12-04;Cracow;Sterling Cameras;school equipment;blackboard;590.0;3
344;2016-10-20;Berlin;Quality Boiler Repairs;furniture;desk;149.99;5
345;2016-10-02;Berlin;On Top Workshops;furniture;desk;149.99;8
346;2017-03-06;Berlin;Billingham Workshops;furniture;desk;149.99;2
347;2015-02-14;London;Newbold Accountancy Services;school and office equipment;pen;0.99;238
348;2016-11-24;London;Haddow Camping Supplies;school equipment;chalk;5.0;218
349;2016-05-20;Paris;Wright Sporting Goods;furniture;desk;149.99;15
350;2015-04-06;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;31
351;2017-02-16;London;Haddow Camping Supplies;furniture;swivel chair;69.0;16
352;2015-03-19;Warszawa;Salisbury Promotions;furniture;swivel chair;69.0;39
353;2015-12-04;Warszawa;North Point Services;furniture;swivel chair;69.0;29
354;2016-02-05;Warszawa;Salisbury Promotions;school equipment;blackboard;590.0;3
355;2015-11-19;Cracow;Sterling Cameras;school equipment;blackboard;590.0;1
356;2017-01-28;Krakow;Jeffries Logistics;school equipment;sponge;4.0;232
357;2015-08-29;Warszawa;North Point Services;furniture;swivel chair;69.0;16
358;2017-04-25;Rome;Khan Cabs;furniture;swivel chair;69.0;3
359;2015-02-26;London;Ashton Electronics;school and office equipment;punch;7.5;84
360;2014-10-22;Warszawa;Salisbury Promotions;school equipment;chalk;5.0;67
361;2015-08-01;Cracow;Grange Locksmiths;school and office equipment;pen;0.99;10
362;2015-03-26;Paris;Wright Sporting Goods;school and office equipment;punch;7.5;26
